timestamp,value
2025-10-28T04:35:20Z,97.1
2025-10-28T04:36:20Z,97.1
2025-10-28T04:37:20Z,97.1
2025-10-28T04:38:20Z,97.1
2025-10-28T04:39:20Z,50.0
2025-10-28T04:40:20Z,97.2
2025-10-28T04:41:20Z,50.0
2025-10-28T04:42:20Z,97.4
2025-10-28T04:43:20Z,97.4
2025-10-28T04:44:20Z,97.3
2025-10-28T04:45:20Z,97.3
2025-10-28T04:46:20Z,97.3
2025-10-28T04:47:20Z,97.3
2025-10-28T04:48:20Z,50.0
2025-10-28T04:49:20Z,97.3
2025-10-28T04:50:20Z,97.3
2025-10-28T04:51:20Z,97.4
2025-10-28T04:52:20Z,97.4
2025-10-28T04:53:20Z,97.4
2025-10-28T04:54:20Z,97.4
2025-10-28T04:55:20Z,97.4
2025-10-28T04:56:20Z,97.4
2025-10-28T04:57:20Z,97.3
2025-10-28T04:58:20Z,97.3
2025-10-28T04:59:20Z,50.0
2025-10-28T05:00:20Z,97.2
2025-10-28T05:01:20Z,97.2
2025-10-28T05:02:20Z,97.1
2025-10-28T05:03:20Z,97.1
2025-10-28T05:04:20Z,97.1
2025-10-28T05:05:20Z,97.1
2025-10-28T05:06:20Z,97.0
2025-10-28T05:07:20Z,97.0
2025-10-28T05:08:20Z,50.0
2025-10-28T05:09:20Z,97.0
2025-10-28T05:10:20Z,97.0
2025-10-28T05:11:20Z,96.9
2025-10-28T05:12:20Z,96.9
2025-10-28T05:13:20Z,96.9
2025-10-28T05:14:20Z,96.9
2025-10-28T05:15:20Z,96.9
2025-10-28T05:16:20Z,96.9
2025-10-28T05:17:20Z,96.9
2025-10-28T05:18:20Z,96.9
2025-10-28T05:19:20Z,96.9
2025-10-28T05:20:20Z,96.9
2025-10-28T05:21:20Z,96.9
2025-10-28T05:22:20Z,50.0
2025-10-28T05:23:20Z,97.0
2025-10-28T05:24:20Z,97.1
2025-10-28T05:25:20Z,97.2
2025-10-28T05:26:20Z,97.3
2025-10-28T05:27:20Z,97.4
2025-10-28T05:28:20Z,97.5
2025-10-28T05:29:20Z,97.5
2025-10-28T05:30:20Z,97.5
2025-10-28T05:31:20Z,97.5
2025-10-28T05:32:20Z,97.6
2025-10-28T05:33:20Z,97.6
2025-10-28T05:34:20Z,97.6
2025-10-28T05:35:20Z,97.6
2025-10-28T05:36:20Z,50.0
2025-10-28T05:37:20Z,97.7
2025-10-28T05:38:20Z,97.7
2025-10-28T05:39:20Z,97.5
2025-10-28T05:40:20Z,97.5
2025-10-28T05:41:20Z,97.5
2025-10-28T05:42:20Z,97.5
2025-10-28T05:43:20Z,97.5
2025-10-28T05:44:20Z,97.5
2025-10-28T05:45:20Z,97.5
2025-10-28T05:46:20Z,97.5
2025-10-28T05:47:20Z,97.5
2025-10-28T05:48:20Z,97.6
2025-10-28T05:49:20Z,97.6
2025-10-28T05:50:20Z,97.6
2025-10-28T05:51:20Z,97.5
2025-10-28T05:52:20Z,97.5
2025-10-28T05:53:20Z,97.5
2025-10-28T05:54:20Z,50.0
2025-10-28T05:55:20Z,97.4
2025-10-28T05:56:20Z,97.5
2025-10-28T05:57:20Z,97.4
2025-10-28T05:58:20Z,97.4
2025-10-28T05:59:20Z,97.4
2025-10-28T06:00:20Z,97.4
2025-10-28T06:01:20Z,97.4
2025-10-28T06:02:20Z,50.0
2025-10-28T06:03:20Z,97.4
2025-10-28T06:04:20Z,97.4
2025-10-28T06:05:20Z,50.0
2025-10-28T06:06:20Z,97.5
2025-10-28T06:07:20Z,97.5
2025-10-28T06:08:20Z,97.4
2025-10-28T06:09:20Z,97.4
2025-10-28T06:10:20Z,97.4
2025-10-28T06:11:20Z,97.5
2025-10-28T06:12:20Z,97.5
2025-10-28T06:13:20Z,97.5
2025-10-28T06:14:20Z,50.0
2025-10-28T06:15:20Z,97.5
2025-10-28T06:16:20Z,97.6
2025-10-28T06:17:20Z,97.6
2025-10-28T06:18:20Z,50.0
2025-10-28T06:19:20Z,97.5
2025-10-28T06:20:20Z,97.4
2025-10-28T06:21:20Z,97.3
2025-10-28T06:22:20Z,97.3
2025-10-28T06:23:20Z,97.3
2025-10-28T06:24:20Z,97.2
2025-10-28T06:25:20Z,97.1
2025-10-28T06:26:20Z,50.0
2025-10-28T06:27:20Z,97.2
2025-10-28T06:28:20Z,97.3
2025-10-28T06:29:20Z,97.4
2025-10-28T06:30:20Z,97.5
2025-10-28T06:31:20Z,97.5
2025-10-28T06:32:20Z,50.0
2025-10-28T06:33:20Z,97.5
2025-10-28T06:34:20Z,97.5
2025-10-28T06:35:20Z,97.7
2025-10-28T06:36:20Z,50.0
2025-10-28T06:37:20Z,97.8
2025-10-28T06:38:20Z,97.7
2025-10-28T06:39:20Z,50.0
2025-10-28T06:40:20Z,97.6
2025-10-28T06:41:20Z,97.4
2025-10-28T06:42:20Z,97.3
2025-10-28T06:43:20Z,97.1
2025-10-28T06:44:20Z,97.1
2025-10-28T06:45:20Z,97.1
2025-10-28T06:46:20Z,97.1
2025-10-28T06:47:20Z,97.1
2025-10-28T06:48:20Z,97.1
2025-10-28T06:49:20Z,97.1
2025-10-28T06:50:20Z,97.1
2025-10-28T06:51:20Z,97.0
2025-10-28T06:52:20Z,97.0
2025-10-28T06:53:20Z,97.1
2025-10-28T06:54:20Z,97.1
2025-10-28T06:55:20Z,97.0
2025-10-28T06:56:20Z,97.0
2025-10-28T06:57:20Z,97.0
2025-10-28T06:58:20Z,97.0
2025-10-28T06:59:20Z,50.0
2025-10-28T07:00:20Z,50.0
2025-10-28T07:01:20Z,96.9
2025-10-28T07:02:20Z,50.0
2025-10-28T07:03:20Z,96.9
2025-10-28T07:04:20Z,97.1
2025-10-28T07:05:20Z,97.2
2025-10-28T07:06:20Z,97.4
2025-10-28T07:07:20Z,50.0
2025-10-28T07:08:20Z,97.4
2025-10-28T07:09:20Z,97.3
2025-10-28T07:10:20Z,97.3
2025-10-28T07:11:20Z,97.3
2025-10-28T07:12:20Z,97.3
2025-10-28T07:13:20Z,97.3
2025-10-28T07:14:20Z,97.3
2025-10-28T07:15:20Z,97.4
2025-10-28T07:16:20Z,50.0
2025-10-28T07:17:20Z,97.3
2025-10-28T07:18:20Z,97.4
2025-10-28T07:19:20Z,50.0
